"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.3N.A9WB"	0.00292845166792267	6.36099331341353e-15	6.36099331341353e-15	6.36099331341353e-15	6.36099331341353e-15	0.0170793427102882	0.0174939381671483	0.0416542431137016	0.0687056511529002
"TCGA.3N.A9WC"	0.140640636768401	5.63635650530588e-05	0.342386113043294	0.0524288116094728	0.0168925289495422	0.0485257032881722	0.115315913132148	0.0793659957388509	0.0277232073620209
"TCGA.3N.A9WD"	0.0501859419009586	1.02822518505468e-14	0.00684895759408174	1.02822518505468e-14	0.0386382467081273	0.0137400164585696	0.0466998408200976	1.02822518505468e-14	0.0185424444107992
"TCGA.BF.AAP0"	0.257589471048879	0.144993429783083	0.220409148311992	0.0352195222262236	0.0225207202430943	0.102296160171826	0.058701652896783	7.637879820895e-15	0.0196056833773406
"TCGA.D3.A1Q1"	7.23939385298116e-15	7.23939385298116e-15	7.23939385298116e-15	7.23939385298116e-15	0.0576417049016948	0.0207594689440988	7.23939385298116e-15	0.117644341784646	0.0632690621575449
"TCGA.D3.A1Q3"	0.281884861811827	0.0467764466824848	0.0419530289993718	0.00315962546784176	0.0816187196245981	0.0626879813657478	0.0884470087609137	0.255048391745806	2.31184138649016e-08
"TCGA.D3.A1Q4"	0.0107742881044499	0.0303484686330328	8.38012582101469e-15	0.00935435476382964	0.287114103180055	0.330988583250651	0.040307503816929	0.0881436667591577	0.0716052170661573
"TCGA.D3.A1Q5"	5.47282173977363e-15	0.00346659559428189	5.47282173977363e-15	5.47282173977363e-15	0.135204152281274	0.115860086974398	0.106824188614001	0.0746377268339107	0.231684572728248
"TCGA.D3.A1Q6"	0.00362144755557288	6.61040572048012e-15	6.61040572048012e-15	0.0736512392019506	0.0405217910981268	0.0852792216264903	0.349795878422611	0.142228506634622	6.61040572048012e-15
"TCGA.D3.A1Q7"	0.18350445567056	0.0210259739305556	0.259237472666459	0.181784451243513	0.199226040496923	0.0532877879105655	0.0498532574334774	0.0406415869463396	0.00951796263409037
"TCGA.D3.A1Q8"	0.0644636159881907	0.0101361076324347	6.19196863719283e-15	0.250848201154212	0.244072387169678	0.266847071278036	0.0297479665210228	0.0567867453308519	0.0282066936873527
"TCGA.D3.A1Q9"	1.07876404945996e-14	1.79349770859048e-07	0.0620778758934785	0.0629153915385752	0.0129278747156963	0.0613118702848684	0.151290934809336	0.168255490999038	0.0681320634351845
"TCGA.D3.A1QA"	8.88946974534506e-15	0.0178915399569066	0.0351719024845051	0.0140097575192335	0.0114885047288292	0.066356395529905	0.0984621569912718	0.39464302227913	0.0115180566932783
"TCGA.D3.A1QB"	0.107307495014333	0.078477628998869	0.372489357031048	0.011827908502756	7.40626525959048e-15	0.0179487618274344	0.155182765965478	0.0256854407160013	0.0824472792934476
"TCGA.D3.A2J6"	1.70373595096838e-11	0.0448432765417964	0.0236081217235895	8.74873753992895e-15	8.74873753992895e-15	0.0210741893231084	0.0512523961391474	0.130271023627836	0.032875113603577
"TCGA.D3.A2J7"	0.0669852315237504	0.0541456714758381	0.134757132452531	9.93951757871944e-05	0.0746129901408274	0.156195977591949	0.0423898638212254	0.15896401401965	0.127426196372173
"TCGA.D3.A2J8"	0.13747534999104	5.89857530252921e-15	0.182309033153659	0.214065718550058	0.135108617247521	0.0723232673298879	0.152625192582286	0.00850603353099356	5.89857530252921e-15
"TCGA.D3.A2J9"	0.284100483338069	0.0553106339075651	0.293696347482697	0.108198398196948	0.112454926885096	0.0194546432598167	0.0427905349634829	0.0137711449318494	0.0135186132314624
"TCGA.D3.A2JA"	0.11637945361122	0.0174996481896538	0.146492344252671	0.181312108756424	0.112684992963844	0.261308628392867	0.00238826517497732	0.0757176109347731	0.0643390903692554
"TCGA.D3.A2JB"	0.411840782046545	0.0829041334571637	0.135822638284233	0.000320677880474562	0.0770070512326551	0.00229410022202529	0.0597573400136162	0.0663192285704176	0.0329576836823026
"TCGA.D3.A2JC"	0.00825533459295621	0.108358393833041	0.175102732121898	0.136977973229593	0.0129567589000598	0.0582781960301332	0.0980522550219149	0.0438135835954933	0.174122588930399
"TCGA.D3.A2JD"	0.159526259606681	0.0308371041569714	8.23197632373697e-15	8.23197632373697e-15	0.073010280401161	0.051456345321358	0.00579088567909805	0.0172769602830417	0.0546916944121054
"TCGA.D3.A2JE"	0.000359393085466483	6.30830211773635e-15	6.30830211773635e-15	6.30830211773635e-15	0.00759519500226813	0.00364140215430304	0.16496793280102	0.108808149177726	0.074876468383901
"TCGA.D3.A2JF"	0.116715712605375	0.0245902865747267	0.114301901139657	8.65959166652995e-15	0.0606808779634805	0.0135529496965725	0.150720152544569	8.65959166652995e-15	0.0968798109873176
"TCGA.D3.A2JG"	7.73216209360118e-15	7.73216209360118e-15	7.73216209360118e-15	7.73216209360118e-15	0.0166246186782671	0.0157170289126411	0.0475641007927627	0.0135578454336018	7.73216209360118e-15
"TCGA.D3.A2JH"	0.170267730573181	0.0552219226959352	0.37335245467466	0.0735684677091604	0.0755272559711996	7.66914083962652e-15	0.0676395833293787	0.0638201734015979	0.0684980874880533
"TCGA.D3.A2JK"	0.00125032254951766	0.0769596668187558	5.74149657064154e-15	0.006931674092177	0.0107637277097352	0.0374329567029024	0.00263499666297954	5.74149657064154e-15	0.0122920305142067
"TCGA.D3.A2JL"	0.0750192885835989	8.71126591603021e-15	0.119386171026162	8.71126591603021e-15	8.71126591603021e-15	0.016404532227806	0.0677246169274454	8.71126591603021e-15	0.0589443668815285
